,OMEGA,X,Y,Z
0,5.0,5.909392537313434e-05,9.868161194029852e-06,-0.00039495467462686564
1,15.0,0.0001290561801801802,0.0001035904084084084,-0.0007849931951951953
2,25.0,0.00017507500000000001,-2.269573192771084e-05,-0.0013272097710843374
3,35.0,0.0002545680575757576,-0.00013335097878787878,-0.002011397887878788
4,45.0,0.00030339992514970065,-0.0002967246796407186,-0.0025266904281437126
5,55.0,0.00040550968072289165,-0.0005867319969879519,-0.002738596189759036
6,65.0,0.0005440292335329341,-0.0011674720928143711,-0.002663125511976048
7,75.0,0.0007441960634441086,-0.0017789477432024168,-0.0025174750332326284
8,85.0,0.0009327745074626867,-0.0024226592716417913,-0.002197805223880597
9,95.0,0.0011406777627627628,-0.0028108397867867866,-0.001957066045045045
10,105.0,0.0012695368761329305,-0.002815012160120846,-0.001523616259818731
11,115.0,0.0014212054504504504,-0.0025032628828828827,-0.000752324822822823
12,125.0,0.0015787265225225226,-0.0021586821651651653,1.187065765765764e-05
13,135.0,0.0017429303987915408,-0.0018317292779456195,0.0006209941329305135
14,145.0,0.0018899760476190478,-0.0013783368095238095,0.0008465621458333333
15,155.0,0.001979165918674699,-0.0006346651987951807,0.0007060866626506024
16,165.0,0.0019819500271084337,0.00012890914457831324,0.0005609045451807229
17,175.0,0.0020824341060606062,0.0009598767393939394,0.0002693357060606061
18,185.0,0.002061735329305136,0.001451296848942598,-0.0001240640996978852
19,195.0,0.001989431587878788,0.0015961538272727272,-0.0006776197393939394
20,205.0,0.0019664731164179107,0.0014465387343283581,-0.0014275834925373135
21,215.0,0.0018614367530120478,0.0012564003222891567,-0.0022541468373493976
22,225.0,0.0018020323592814374,0.0009859418083832333,-0.002981173386227545
23,235.0,0.001697820469879518,0.0004888292590361445,-0.0033421301024096385
24,245.0,0.001574653459459459,-9.0471993993994e-05,-0.0033992601771771773
25,255.0,0.001418204341389728,-0.000882334655589124,-0.003456446915407855
26,265.0,0.001222578087613293,-0.001608071912386707,-0.003335449474320242
27,275.0,0.0010579737027027027,-0.0020967322162162164,-0.0031538016516516514
28,285.0,0.0009059466000000001,-0.0022713038727272725,-0.0027494998878787877
29,295.0,0.0006926335030120481,-0.002189087629518072,-0.0020717855542168677
30,305.0,0.0005690860209580839,-0.0021271746616766465,-0.0013094347964071856
31,315.0,0.00042595616516516525,-0.002061734339339339,-0.0007213954684684686
32,325.0,0.00030983462839879154,-0.0018158917280966767,-0.0003932621540785499
33,335.0,0.0003028431411411411,-0.0013482420900900903,-0.000353129093093093
34,345.0,0.00029773215868263473,-0.0006864582245508982,-0.0004993741706586826
35,355.0,0.00021540581393372982,0.00010695226508071366,-0.0007016237553101104
